Time[s], DEBUG_DI, DEBUG_DCKI, DEBUG_DEC_E3, DEBUG_DEC_A0, DEBUG_DEC_A1, DEBUG_DEC_A2, Channel 6, Channel 7
-0.100000000000000, 1, 1, 1, 1, 1, 1, 1, 1
-0.000000375000000, 0, 0, 1, 1, 1, 1, 1, 1
0.000000000000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100025875000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100031375000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100036625000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100041625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100046250000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100050500000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100054500000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100058250000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100061625000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100064625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100067375000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100069875000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100072000000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100075375000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100076875000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100078000000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100084750000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100090250000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100095500000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100100500000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100105125000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100109375000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100113375000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100117125000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100120500000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100123500000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100126250000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100128750000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100130875000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100132625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100134125000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100135375000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100142000000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100147625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100152875000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100157750000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100162375000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100166750000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100170750000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100176000000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100179375000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100182375000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100185125000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100187625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100189750000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100191500000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100193000000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100194250000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100200875000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100206500000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100211750000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100216625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100221250000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100225625000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100229625000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100233250000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100236625000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100239750000000, 0, 0, 0, 0, 1, 1, 1, 1
0.100242500000000, 0, 1, 0, 0, 1, 1, 1, 1
0.100244875000000, 0, 0, 0, 0, 1, 1, 1, 1
